Time[s], 通道 0, 通道 1, 通道 3, 通道 4, 通道 5, 通道 6
0.036820000, 0, 0, 1, 0, 0, 0
0.037240000, 0, 0, 0, 0, 0, 0
0.037310000, 0, 0, 0, 1, 0, 0
0.037660000, 0, 0, 1, 1, 0, 0
0.038080000, 0, 0, 0, 1, 0, 0
0.038150000, 0, 0, 0, 0, 0, 0
0.038490000, 0, 0, 1, 0, 0, 0
0.038910000, 0, 0, 0, 0, 0, 0
0.038990000, 0, 0, 0, 1, 0, 0
0.039330000, 0, 0, 1, 1, 0, 0
0.039560000, 0, 0, 0, 0, 0, 0
0.040200000, 0, 0, 1, 0, 0, 0
0.040410000, 0, 0, 0, 0, 0, 0
0.040620000, 0, 0, 1, 0, 0, 0
0.040830000, 0, 0, 0, 1, 0, 0
0.041030000, 0, 0, 1, 1, 0, 0
0.041240000, 0, 0, 0, 1, 0, 0
0.041250000, 0, 0, 0, 0, 0, 0
0.041450000, 0, 0, 1, 0, 0, 0
0.041660000, 0, 0, 0, 0, 0, 0
0.041670000, 0, 0, 0, 1, 0, 0
0.041870000, 0, 0, 1, 1, 0, 0
0.042080000, 0, 0, 0, 1, 0, 0
0.042090000, 0, 0, 0, 0, 0, 0
0.042280000, 0, 0, 1, 0, 0, 0
0.042490000, 0, 0, 0, 0, 0, 0
0.042500000, 0, 0, 0, 1, 0, 0
0.042700000, 0, 0, 1, 1, 0, 0
0.042910000, 0, 0, 0, 1, 0, 0
0.042920000, 0, 0, 0, 0, 0, 0
0.043120000, 0, 0, 1, 0, 0, 0
0.043330000, 0, 0, 0, 0, 0, 0
0.043340000, 0, 0, 0, 1, 0, 0
0.043530000, 0, 0, 1, 1, 0, 0
0.043740000, 0, 0, 0, 1, 0, 0
0.043760000, 0, 0, 0, 0, 0, 0
0.043950000, 0, 0, 1, 0, 0, 0
0.044160000, 0, 0, 0, 0, 0, 0
0.044180000, 0, 0, 0, 1, 0, 0
0.044370000, 0, 0, 1, 1, 0, 0
0.044580000, 0, 0, 0, 1, 0, 0
0.044600000, 0, 0, 0, 0, 0, 0
0.044780000, 0, 0, 1, 0, 0, 0
0.044990000, 0, 0, 0, 0, 0, 0
0.045010000, 0, 0, 0, 1, 0, 0
0.045200000, 0, 0, 1, 1, 0, 0
0.045410000, 0, 0, 0, 1, 0, 0
0.045430000, 0, 0, 0, 0, 0, 0
0.045620000, 0, 0, 1, 0, 0, 0
0.045830000, 0, 0, 0, 0, 0, 0
0.045850000, 0, 0, 0, 1, 0, 0
0.046030000, 0, 0, 1, 1, 0, 0
0.046240000, 0, 0, 0, 1, 0, 0
0.046270000, 0, 0, 0, 0, 0, 0
0.046450000, 0, 0, 1, 0, 0, 0
0.046660000, 0, 0, 0, 0, 0, 0
0.046690000, 0, 0, 0, 1, 0, 0
0.046870000, 0, 0, 1, 1, 0, 0
0.047080000, 0, 0, 0, 1, 0, 0
0.047110000, 0, 0, 0, 0, 0, 0
0.047280000, 0, 0, 1, 0, 0, 0
0.047490000, 0, 0, 0, 0, 0, 0
0.047520000, 0, 0, 0, 1, 0, 0
0.047700000, 0, 0, 1, 1, 0, 0
0.047910000, 0, 0, 0, 1, 0, 0
0.047940000, 0, 0, 0, 0, 0, 0
0.048120000, 0, 0, 1, 0, 0, 0
