Time,X,Y,Z
0.000000,0,0,0
0.000000,0.000000,0.000000,1666.000000
0.040000,0.000000,0.000000,1666.000000
0.040000,0.000000,0.000000,3333.000000
2.400000,0.000000,0.000000,3333.000000
2.400000,0.000000,0.000000,1666.000000
2.400242,0.000000,0.000000,1666.000000
2.400242,0,0,0
3.600000,0,0,0
3.640000,0,0,0
3.640000,523.000000,1582.000000,0.000000
3.680000,523.000000,1582.000000,0.000000
3.680000,1046.000000,3164.000000,0.000000
11.200000,1046.000000,3164.000000,0.000000
11.200000,523.000000,1582.000000,0.000000
11.200042,523.000000,1582.000000,0.000000
11.200042,0,0,0
12.400000,0,0,0
12.440000,0,0,0
12.440000,0.000000,0.000000,1666.000000
12.480000,0.000000,0.000000,1666.000000
12.480000,0.000000,0.000000,3333.000000
13.640000,0.000000,0.000000,3333.000000
13.640000,0.000000,0.000000,1666.000000
13.640242,0.000000,0.000000,1666.000000
13.640242,0,0,0
14.840000,0,0,0
14.880000,0,0,0
14.880000,0.000000,0.000000,1000.000000
14.920000,0.000000,0.000000,1000.000000
14.920000,0.000000,0.000000,2000.000000
14.960000,0.000000,0.000000,2000.000000
14.960000,0.000000,0.000000,4000.000000
16.000000,0.000000,0.000000,4000.000000
16.000000,0.000000,0.000000,2000.000000
16.040000,0.000000,0.000000,2000.000000
16.040000,0.000000,0.000000,1000.000000
16.040000,0.000000,0.000000,1000.000000
16.040000,0,0,0
17.240000,0,0,0
17.280000,0,0,0
17.280000,1000.000000,0.000000,0.000000
17.320000,1000.000000,0.000000,0.000000
17.320000,2000.000000,0.000000,0.000000
18.280000,2000.000000,0.000000,0.000000
18.280000,1000.000000,0.000000,0.000000
18.280000,1000.000000,0.000000,0.000000
18.280000,0,0,0
19.480000,0,0,0
19.520000,0,0,0
19.520000,1000.000000,0.000000,0.000000
19.560000,1000.000000,0.000000,0.000000
19.560000,2000.000000,0.000000,0.000000
25.520000,2000.000000,0.000000,0.000000
25.520000,1000.000000,0.000000,0.000000
25.520000,1000.000000,0.000000,0.000000
25.520000,0,0,0
26.720000,0,0,0
26.760000,0,0,0
26.760000,1000.000000,0.000000,0.000000
26.800000,1000.000000,0.000000,0.000000
26.800000,2000.000000,0.000000,0.000000
27.760000,2000.000000,0.000000,0.000000
27.760000,1000.000000,0.000000,0.000000
27.760000,1000.000000,0.000000,0.000000
27.760000,0,0,0
28.960000,0,0,0
29.000000,0,0,0
29.000000,0.000000,0.000000,1666.000000
29.040000,0.000000,0.000000,1666.000000
29.040000,0.000000,0.000000,3333.000000
30.320000,0.000000,0.000000,3333.000000
30.320000,0.000000,0.000000,1666.000000
30.320242,0.000000,0.000000,1666.000000
30.320242,0,0,0
31.520000,0,0,0
31.560000,0,0,0
31.560000,1664.000000,83.000000,0.000000
31.600000,1664.000000,83.000000,0.000000
31.600000,3329.000000,166.000000,0.000000
36.360000,3329.000000,166.000000,0.000000
36.360000,1664.000000,83.000000,0.000000
36.360242,1664.000000,83.000000,0.000000
36.360242,0,0,0
37.560000,0,0,0
37.600000,0,0,0
37.600000,0.000000,0.000000,1000.000000
37.640000,0.000000,0.000000,1000.000000
37.640000,0.000000,0.000000,2000.000000
37.680000,0.000000,0.000000,2000.000000
37.680000,0.000000,0.000000,4000.000000
38.720000,0.000000,0.000000,4000.000000
38.720000,0.000000,0.000000,2000.000000
38.760000,0.000000,0.000000,2000.000000
38.760000,0.000000,0.000000,1000.000000
38.760000,0.000000,0.000000,1000.000000
38.760000,0,0,0
39.960000,0,0,0
40.000000,0,0,0
40.000000,1000.000000,0.000000,0.000000
40.040000,1000.000000,0.000000,0.000000
40.040000,2000.000000,0.000000,0.000000
41.000000,2000.000000,0.000000,0.000000
41.000000,1000.000000,0.000000,0.000000
41.000000,1000.000000,0.000000,0.000000
41.000000,0,0,0
42.200000,0,0,0
42.240000,0,0,0
42.240000,1000.000000,0.000000,0.000000
42.280000,1000.000000,0.000000,0.000000
42.280000,2000.000000,0.000000,0.000000
48.240000,2000.000000,0.000000,0.000000
48.240000,1000.000000,0.000000,0.000000
48.240000,1000.000000,0.000000,0.000000
48.240000,0,0,0
49.440000,0,0,0
49.480000,0,0,0
49.480000,1000.000000,0.000000,0.000000
49.520000,1000.000000,0.000000,0.000000
49.520000,2000.000000,0.000000,0.000000
50.480000,2000.000000,0.000000,0.000000
50.480000,1000.000000,0.000000,0.000000
50.480000,1000.000000,0.000000,0.000000
50.480000,0,0,0
51.680000,0,0,0
51.720000,0,0,0
51.720000,0.000000,0.000000,1666.000000
51.760000,0.000000,0.000000,1666.000000
51.760000,0.000000,0.000000,3333.000000
53.040000,0.000000,0.000000,3333.000000
53.040000,0.000000,0.000000,1666.000000
53.040242,0.000000,0.000000,1666.000000
53.040242,0,0,0
54.240000,0,0,0
54.280000,0,0,0
54.280000,1664.000000,83.000000,0.000000
54.320000,1664.000000,83.000000,0.000000
54.320000,3329.000000,166.000000,0.000000
59.080000,3329.000000,166.000000,0.000000
59.080000,1664.000000,83.000000,0.000000
59.080242,1664.000000,83.000000,0.000000
59.080242,0,0,0
60.280000,0,0,0
60.320000,0,0,0
60.320000,0.000000,0.000000,1000.000000
60.360000,0.000000,0.000000,1000.000000
60.360000,0.000000,0.000000,2000.000000
60.400000,0.000000,0.000000,2000.000000
60.400000,0.000000,0.000000,4000.000000
61.440000,0.000000,0.000000,4000.000000
61.440000,0.000000,0.000000,2000.000000
61.480000,0.000000,0.000000,2000.000000
61.480000,0.000000,0.000000,1000.000000
61.480000,0.000000,0.000000,1000.000000
61.480000,0,0,0
62.680000,0,0,0
62.720000,0,0,0
62.720000,1000.000000,0.000000,0.000000
62.760000,1000.000000,0.000000,0.000000
62.760000,2000.000000,0.000000,0.000000
63.720000,2000.000000,0.000000,0.000000
63.720000,1000.000000,0.000000,0.000000
63.720000,1000.000000,0.000000,0.000000
63.720000,0,0,0
64.920000,0,0,0
64.960000,0,0,0
64.960000,1000.000000,0.000000,0.000000
65.000000,1000.000000,0.000000,0.000000
65.000000,2000.000000,0.000000,0.000000
70.960000,2000.000000,0.000000,0.000000
70.960000,1000.000000,0.000000,0.000000
70.960000,1000.000000,0.000000,0.000000
70.960000,0,0,0
72.160000,0,0,0
72.200000,0,0,0
72.200000,1000.000000,0.000000,0.000000
72.240000,1000.000000,0.000000,0.000000
72.240000,2000.000000,0.000000,0.000000
73.200000,2000.000000,0.000000,0.000000
73.200000,1000.000000,0.000000,0.000000
73.200000,1000.000000,0.000000,0.000000
73.200000,0,0,0
74.400000,0,0,0
74.440000,0,0,0
74.440000,0.000000,0.000000,1666.000000
74.480000,0.000000,0.000000,1666.000000
74.480000,0.000000,0.000000,3333.000000
75.760000,0.000000,0.000000,3333.000000
75.760000,0.000000,0.000000,1666.000000
75.760242,0.000000,0.000000,1666.000000
75.760242,0,0,0
76.960000,0,0,0
77.000000,0,0,0
77.000000,1664.000000,83.000000,0.000000
77.040000,1664.000000,83.000000,0.000000
77.040000,3329.000000,166.000000,0.000000
81.800000,3329.000000,166.000000,0.000000
81.800000,1664.000000,83.000000,0.000000
81.800242,1664.000000,83.000000,0.000000
81.800242,0,0,0
83.000000,0,0,0
83.040000,0,0,0
83.040000,0.000000,0.000000,1000.000000
83.080000,0.000000,0.000000,1000.000000
83.080000,0.000000,0.000000,2000.000000
83.120000,0.000000,0.000000,2000.000000
83.120000,0.000000,0.000000,4000.000000
84.160000,0.000000,0.000000,4000.000000
84.160000,0.000000,0.000000,2000.000000
84.200000,0.000000,0.000000,2000.000000
84.200000,0.000000,0.000000,1000.000000
84.200000,0.000000,0.000000,1000.000000
84.200000,0,0,0
85.400000,0,0,0
85.440000,0,0,0
85.440000,1000.000000,0.000000,0.000000
85.480000,1000.000000,0.000000,0.000000
85.480000,2000.000000,0.000000,0.000000
86.440000,2000.000000,0.000000,0.000000
86.440000,1000.000000,0.000000,0.000000
86.440000,1000.000000,0.000000,0.000000
86.440000,0,0,0
87.640000,0,0,0
87.680000,0,0,0
87.680000,1000.000000,0.000000,0.000000
87.720000,1000.000000,0.000000,0.000000
87.720000,2000.000000,0.000000,0.000000
93.680000,2000.000000,0.000000,0.000000
93.680000,1000.000000,0.000000,0.000000
93.680000,1000.000000,0.000000,0.000000
93.680000,0,0,0
94.880000,0,0,0
94.920000,0,0,0
94.920000,1000.000000,0.000000,0.000000
94.960000,1000.000000,0.000000,0.000000
94.960000,2000.000000,0.000000,0.000000
95.920000,2000.000000,0.000000,0.000000
95.920000,1000.000000,0.000000,0.000000
95.920000,1000.000000,0.000000,0.000000
95.920000,0,0,0
97.120000,0,0,0
97.160000,0,0,0
97.160000,0.000000,0.000000,1666.000000
97.200000,0.000000,0.000000,1666.000000
97.200000,0.000000,0.000000,3333.000000
98.480000,0.000000,0.000000,3333.000000
98.480000,0.000000,0.000000,1666.000000
98.480242,0.000000,0.000000,1666.000000
98.480242,0,0,0
99.680000,0,0,0
99.720000,0,0,0
99.720000,1664.000000,83.000000,0.000000
99.760000,1664.000000,83.000000,0.000000
99.760000,3329.000000,166.000000,0.000000
104.520000,3329.000000,166.000000,0.000000
104.520000,1664.000000,83.000000,0.000000
104.520242,1664.000000,83.000000,0.000000
104.520242,0,0,0
105.720000,0,0,0
105.760000,0,0,0
105.760000,0.000000,0.000000,1000.000000
105.800000,0.000000,0.000000,1000.000000
105.800000,0.000000,0.000000,2000.000000
105.840000,0.000000,0.000000,2000.000000
105.840000,0.000000,0.000000,4000.000000
106.880000,0.000000,0.000000,4000.000000
106.880000,0.000000,0.000000,2000.000000
106.920000,0.000000,0.000000,2000.000000
106.920000,0.000000,0.000000,1000.000000
106.920000,0.000000,0.000000,1000.000000
106.920000,0,0,0
108.120000,0,0,0
108.160000,0,0,0
108.160000,1000.000000,0.000000,0.000000
108.200000,1000.000000,0.000000,0.000000
108.200000,2000.000000,0.000000,0.000000
109.160000,2000.000000,0.000000,0.000000
109.160000,1000.000000,0.000000,0.000000
109.160000,1000.000000,0.000000,0.000000
109.160000,0,0,0
110.360000,0,0,0
110.400000,0,0,0
110.400000,1000.000000,0.000000,0.000000
110.440000,1000.000000,0.000000,0.000000
110.440000,2000.000000,0.000000,0.000000
116.400000,2000.000000,0.000000,0.000000
116.400000,1000.000000,0.000000,0.000000
116.400000,1000.000000,0.000000,0.000000
116.400000,0,0,0
117.600000,0,0,0
117.640000,0,0,0
